Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
MOD: delay(500 500), type(tTMRRSTO), from(I1.TIMERRES), to(I1.TIMEROUT)
MOD: delay(900 900), type(tOSCEN+tOSCOD), from(I1.DYNOSCDIS), to(I1.OSCOUT)
CHK: delay(400 400), type(tTMRRR), from(I1.TIMERRES), to(I1.OSCOUT)
CHK: delay(300 300), type(tTMRRSTPW), from(I1.TIMERRES), to(I1.TIMERRES)
CHK: delay(500 500), type(tOSCH), from(I1.DYNOSCDIS), to(I1.OSCOUT)
CHK: delay(500 500), type(tOSCSU), from(I1.DYNOSCDIS), to(I1.OSCOUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_2_.OUT), to(o_BOTRED_2_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_2_ ), to(o_BOTRED_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_1_.OUT), to(o_BOTRED_1_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_1_ ), to(o_BOTRED_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_0_.OUT), to(o_BOTRED_0_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_0_ ), to(o_BOTRED_0_.OUT)
MOD: delay(95 95), type(tSRi), from(o_DIS1_5_.AP ), to(o_DIS1_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_5_.OUT), to(o_DIS1_5_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS1_5_.C ), to(o_DIS1_5_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS1_5_.AP ), to(o_DIS1_5_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS1_5_.AP ), to(o_DIS1_5_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS1_5_.C ), to(o_DIS1_5_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS1_5_.C ), to(o_DIS1_5_.C )
CHK: delay(200 200), type(tH), from(o_DIS1_5_.D ), to(o_DIS1_5_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS1_5_.D ), to(o_DIS1_5_.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_7_.OUT), to(o_TOPRED_7_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_7_ ), to(o_TOPRED_7_.OUT)
MOD: delay(95 95), type(tSRi), from(o_DIS1_4_.AP ), to(o_DIS1_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_4_.OUT), to(o_DIS1_4_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS1_4_.C ), to(o_DIS1_4_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS1_4_.AP ), to(o_DIS1_4_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS1_4_.AP ), to(o_DIS1_4_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS1_4_.C ), to(o_DIS1_4_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS1_4_.C ), to(o_DIS1_4_.C )
CHK: delay(200 200), type(tH), from(o_DIS1_4_.D ), to(o_DIS1_4_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS1_4_.D ), to(o_DIS1_4_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS1_3_.AP ), to(o_DIS1_3_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_3_.OUT), to(o_DIS1_3_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS1_3_.C ), to(o_DIS1_3_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS1_3_.AP ), to(o_DIS1_3_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS1_3_.AP ), to(o_DIS1_3_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS1_3_.C ), to(o_DIS1_3_.C )
