 ispLEVER Classic 1.7.00.05.28.13 Fitter Report File 
Project Name,lab12
Project Path,U:\Desktop\LAB12
Project Fitted on,Thu Apr 11 06:44:31 2019

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
1,GND,-,,,,,,
2,TDI,-,,,,,,
3,VCCIO0,-,,,,,,
4,I_O,0,C12,,,,,
5,I_O,0,C10,,,,,
6,I_O,0,C8,,,,,
7,I_O,0,C6,,,,,
8,I_O,0,C4,,,,,
9,I_O,0,C2,,,,,
10,GNDIO0,-,,,,,,
11,I_O,0,D14,,,,,
12,I_O,0,D12,,,,,
13,I_O,0,D10,,,,,
14,I_O,0,D8,,,,,
15,I_O,0,D6,,,,,
16,I_O,0,D4,,,,,
17,IN0,0,,,,,,
18,NC,-,,,,,,
19,VCCIO0,-,,,,,,
20,IN1,0,,,,,,
21,I_O,0,E2,,,,,
22,I_O,0,E4,,,,,
23,I_O,0,E6,*,LVCMOS18,Input,DIP_4_,
24,I_O,0,E8,*,LVCMOS18,Input,DIP_5_,
25,I_O,0,E10,*,LVCMOS18,Input,DIP_6_,
26,I_O,0,E12,*,LVCMOS18,Input,DIP_7_,
27,GNDIO0,-,,,,,,
28,I_O,0,F2,*,LVCMOS18,Output,o_TOPRED_7_,
29,I_O,0,F4,*,LVCMOS18,Output,o_TOPRED_6_,
30,I_O,0,F6,*,LVCMOS18,Output,o_TOPRED_5_,
31,I_O,0,F8,*,LVCMOS18,Output,o_TOPRED_4_,
32,I_O,0,F10,*,LVCMOS18,Output,o_TOPRED_3_,
33,I_O,0,F12,*,LVCMOS18,Output,o_TOPRED_2_,
34,VCCIO0,-,,,,,,
35,TCK,-,,,,,,
36,VCC,-,,,,,,
37,GND,-,,,,,,
38,IN2,0,,,,,,
39,I_O,0,G12,*,LVCMOS18,Output,o_TOPRED_1_,
40,I_O,0,G10,*,LVCMOS18,Output,o_TOPRED_0_,
41,I_O,0,G8,,,,,
42,I_O,0,G6,,,,,
43,I_O,0,G4,,,,,
44,I_O,0,G2,*,LVCMOS18,Output,o_DIS4_6_,
45,IN3,0,,,,,,
46,GNDIO0,-,,,,,,
47,VCCIO0,-,,,,,,
48,I_O,0,H12,*,LVCMOS18,Output,o_DIS4_5_,
49,I_O,0,H10,*,LVCMOS18,Output,o_DIS4_4_,
50,I_O,0,H8,*,LVCMOS18,Output,o_DIS4_3_,
51,I_O,0,H6,*,LVCMOS18,Output,o_DIS4_2_,
52,I_O,0,H4,*,LVCMOS18,Output,o_DIS4_1_,
53,I_O,0,H2,*,LVCMOS18,Output,o_DIS4_0_,
54,INCLK1,0,,,,,,
55,GNDIO1,-,,,,,,
56,INCLK2,1,,,,,,
57,VCC,-,,,,,,
58,I_O,1,I2,*,LVCMOS18,Input,i_S1_NC,
59,I_O,1,I4,*,LVCMOS18,Input,i_S1_NO,
60,I_O,1,I6,*,LVCMOS18,Input,i_S2_NC,
61,I_O,1,I8,*,LVCMOS18,Input,i_S2_NO,
62,I_O,1,I10,*,LVCMOS18,Output,o_LED_YELLOW_1_,
63,I_O,1,I12,*,LVCMOS18,Output,o_LED_YELLOW_0_,
64,VCCIO1,-,,,,,,
65,GNDIO1,-,,,,,,
66,I_O,1,J2,,,,,
67,I_O,1,J4,,,,,
68,I_O,1,J6,,,,,
69,I_O,1,J8,,,,,
70,I_O,1,J10,,,,,
71,I_O,1,J12,,,,,
72,IN4,0,,,,,,
73,GND,-,,,,,,
74,TMS,-,,,,,,
75,VCCIO1,-,,,,,,
76,I_O,1,K12,*,LVCMOS18,Input,DIP_3_,
77,I_O,1,K10,*,LVCMOS18,Input,DIP_2_,
78,I_O,1,K8,*,LVCMOS18,Input,DIP_1_,
79,I_O,1,K6,*,LVCMOS18,Input,DIP_0_,
80,I_O,1,K4,*,LVCMOS18,Output,o_DIS1_0_,
81,I_O,1,K2,*,LVCMOS18,Output,o_DIS1_1_,
82,GNDIO1,-,,,,,,
83,I_O,1,L14,*,LVCMOS18,Output,o_DIS1_2_,
84,I_O,1,L12,*,LVCMOS18,Output,o_DIS1_3_,
85,I_O,1,L10,*,LVCMOS18,Output,o_DIS1_4_,
86,I_O,1,L8,*,LVCMOS18,Output,o_DIS1_5_,
87,I_O,1,L6,*,LVCMOS18,Output,o_DIS1_6_,
88,I_O,1,L4,*,LVCMOS18,Output,o_DIS2_0_,
89,IN5,1,,,,,,
90,NC,-,,,,,,
91,VCCIO1,-,,,,,,
92,IN6,1,,,,,,
93,I_O,1,M2,*,LVCMOS18,Output,o_DIS2_1_,
94,I_O,1,M4,*,LVCMOS18,Output,o_DIS2_2_,
95,I_O,1,M6,*,LVCMOS18,Output,o_DIS2_3_,
96,I_O,1,M8,*,LVCMOS18,Output,o_DIS2_4_,
97,I_O,1,M10,*,LVCMOS18,Output,o_DIS2_5_,
98,I_O,1,M12,*,LVCMOS18,Output,o_DIS2_6_,
99,GNDIO1,-,,,,,,
100,I_O,1,N2,*,LVCMOS18,Output,o_BOTRED_0_,
101,I_O,1,N4,*,LVCMOS18,Output,o_BOTRED_1_,
102,I_O,1,N6,*,LVCMOS18,Output,o_BOTRED_2_,
